Student_id,Age,Gender,School_type,Parent_education,study_hours,Attendance_percentage,Internet_access,Travel_time,Extra_activities,Study_method,Math_score,Science_score,English_score,Overall_score,Final_grade
23,15,Other,Public,High School,1.8,56.2,no,30-60 min,Yes,Online videos,41.3,35.2,19.9,33.5,F
24,19,Female,Public,Ph.D,7.8,72.8,yes,15-30 min,Yes,Notes,100,100,100,94.6,B
25,18,Male,Public,No Formal,1.4,99.3,yes,<15 min,No,Mixed,38.9,31.2,57.3,41.4,E
26,17,Male,Private,Diploma,8,77.4,yes,>60 min,No,Coaching,100,87.7,69.3,92.5,B
27,16,Other,Public,Post Graduate,5.9,74.9,yes,15-30 min,No,Textbook,94.6,92.8,86.9,82.5,C
28,18,Other,Private,Post Graduate,5.2,59.8,yes,<15 min,Yes,Textbook,42.9,89.9,63.4,75.4,C
29,17,Female,Private,Post Graduate,3,71,yes,15-30 min,No,Mixed,40.5,44.5,68.1,45.1,E
30,16,Other,Public,Diploma,7,74.9,yes,>60 min,Yes,Textbook,76.1,73.5,71.7,82.6,C
31,16,Other,Private,Ph.D,7.3,85.7,yes,30-60 min,Yes,Group study,79.6,86,95.4,90.4,B
32,15,Female,Private,High School,5.9,72.5,yes,>60 min,Yes,Textbook,79.3,82.5,77.4,77.1,C
33,14,Male,Private,No Formal,5.8,81.7,yes,30-60 min,Yes,Notes,94.5,72.1,84.8,78.8,C
34,17,Other,Public,Graduate,4.2,55.1,no,15-30 min,No,Coaching,60.5,57.4,72.9,62.2,D
35,19,Female,Public,High School,1.1,88.2,yes,30-60 min,No,Coaching,39.8,39.6,36.5,46.9,E
36,14,Other,Private,Diploma,8,50.2,yes,30-60 min,No,Online videos,93.1,99.8,100,90.4,B
37,19,Other,Public,Diploma,0.6,82.1,yes,>60 min,No,Coaching,45.9,43.5,35,42,E
38,18,Female,Public,High School,4.2,91.3,yes,15-30 min,No,Notes,82.4,73.5,61.7,79,C
39,15,Female,Private,Ph.D,3.3,88.3,yes,15-30 min,Yes,Notes,53.5,67.4,61.7,66.5,D
40,17,Male,Public,Diploma,6.3,57.4,yes,<15 min,Yes,Notes,78.1,70,63.8,65.4,D
41,14,Other,Private,Post Graduate,6,92.2,yes,15-30 min,Yes,Textbook,72.8,72.5,100,88.7,B
42,18,Male,Private,No Formal,5.2,54,yes,30-60 min,Yes,Notes,42.8,58.2,60.1,53.9,E
43,18,Female,Public,Ph.D,1.1,53.3,yes,15-30 min,No,Group study,31.4,36.4,29,23.7,F
44,16,Female,Private,Ph.D,2.3,91.1,yes,30-60 min,No,Mixed,76.4,56.2,56.4,63.6,D
45,14,Male,Private,No Formal,1.2,59.1,yes,<15 min,No,Group study,37.5,35,54,42.3,E
46,19,Female,Private,Graduate,7.8,72.4,yes,30-60 min,No,Mixed,77.3,94.5,88,83.5,C
47,16,Other,Public,Graduate,1.5,96.8,yes,>60 min,No,Coaching,42.4,29.9,53.9,48.7,E
48,19,Male,Private,High School,7.8,60.4,yes,>60 min,Yes,Online videos,85.1,100,100,96.3,A
49,18,Male,Private,Post Graduate,1.3,89,yes,15-30 min,Yes,Coaching,31.5,26.9,32.6,37.5,F
50,18,Male,Private,Post Graduate,7,79.2,no,30-60 min,No,Coaching,86.6,91.1,100,95.9,A
51,18,Male,Public,Ph.D,4.8,70.3,yes,>60 min,Yes,Textbook,66.9,66.7,82.8,76.2,C
52,15,Male,Private,Graduate,6.7,73,yes,15-30 min,No,Notes,87.1,78.6,99.8,90.4,B
53,16,Female,Public,Post Graduate,5.3,70.5,yes,15-30 min,Yes,Notes,77.9,80.5,79.9,77,C
54,16,Other,Public,Post Graduate,6.3,91.4,no,>60 min,Yes,Coaching,95.8,93.3,85.2,88.4,B
55,16,Other,Private,Post Graduate,6,90.7,yes,>60 min,Yes,Online videos,91.9,85.6,100,92.5,B
56,14,Other,Public,Graduate,2.5,68.7,yes,>60 min,No,Online videos,39.3,25.2,39.2,39.5,F
57,17,Other,Public,Post Graduate,7.5,84.9,no,>60 min,Yes,Textbook,83.4,81.5,79.5,86.2,B
58,14,Female,Private,No Formal,5.3,76.6,yes,15-30 min,No,Online videos,67.8,81.5,67.3,76.9,C
59,18,Other,Public,Graduate,2,87.4,yes,15-30 min,No,Online videos,39.8,40.9,59.9,41.1,E
60,18,Male,Private,High School,2.8,52.5,yes,>60 min,Yes,Notes,51.3,48.7,53.4,46.2,E
61,19,Other,Public,Diploma,4.5,66.8,yes,15-30 min,No,Mixed,69.7,61.7,53,65.1,D
62,18,Male,Private,Post Graduate,7.1,66.8,yes,>60 min,No,Online videos,78.9,63.1,83.9,85.8,B
63,16,Other,Private,No Formal,6.5,79.8,yes,30-60 min,Yes,Coaching,76.1,61.2,76.7,77.4,C
64,19,Male,Public,Post Graduate,2.8,60.4,yes,30-60 min,Yes,Group study,62.7,65.5,47.6,54.9,E
65,16,Male,Private,High School,5.7,76.6,yes,30-60 min,No,Group study,84.1,83.3,88.2,80.9,C
66,15,Female,Public,Post Graduate,0.5,99,yes,>60 min,No,Notes,32.1,28.5,38,39.2,F
67,19,Other,Private,Post Graduate,3,52.2,yes,<15 min,Yes,Notes,33.8,45.9,47.3,46.9,E
68,16,Male,Public,No Formal,6.8,75.2,no,<15 min,Yes,Online videos,57.3,100,71.8,82.4,C
69,14,Male,Private,High School,1.6,56.9,yes,15-30 min,Yes,Group study,54,34.8,35.3,40.8,E
70,16,Female,Private,Post Graduate,3.2,79.1,yes,15-30 min,No,Notes,80.1,57.2,47.2,57.1,D
71,18,Other,Public,Diploma,0.5,62,no,15-30 min,No,Group study,32,30.9,51.4,24.6,F
72,15,Other,Public,Diploma,0.7,95.1,yes,<15 min,Yes,Group study,41.4,43.6,23.8,50,E
73,16,Female,Private,No Formal,1.6,65.9,yes,30-60 min,Yes,Coaching,33.9,62.8,30.7,37.1,F
74,14,Female,Private,Post Graduate,1.3,97.9,yes,<15 min,Yes,Group study,53.1,58,59.5,59.5,D
75,18,Female,Private,No Formal,4.2,50.2,no,30-60 min,Yes,Group study,48.3,63.2,46.5,51.5,E
76,16,Other,Public,High School,7.3,91.6,yes,>60 min,Yes,Online videos,99.6,100,99.1,96.4,A
77,15,Male,Private,Diploma,1.1,63.1,no,>60 min,Yes,Group study,36.6,40,23.7,32,F
78,15,Male,Public,Post Graduate,7,60.1,yes,<15 min,Yes,Group study,71.2,87.5,84,80.7,C
79,17,Male,Private,Diploma,5.5,94.2,yes,<15 min,Yes,Group study,94.7,75.8,100,91.5,B
80,18,Male,Private,Ph.D,1.8,65.2,no,15-30 min,No,Mixed,5.9,19,12.8,32.7,F
81,19,Female,Private,Graduate,2.7,79.2,yes,30-60 min,Yes,Textbook,74,75.2,54.3,59.6,D
82,16,Other,Public,High School,2,86.8,yes,15-30 min,No,Mixed,44.8,48.9,54,58.5,D
83,14,Female,Public,High School,6.4,71,yes,<15 min,No,Mixed,83.6,100,98.5,83,C
84,18,Female,Private,Post Graduate,5.9,55.1,no,<15 min,No,Group study,74.1,55.2,72,69.1,D
85,17,Male,Public,Diploma,2.8,96.1,yes,<15 min,Yes,Notes,63.8,57.9,53,61.7,D
86,18,Female,Public,Graduate,0.9,82.4,yes,>60 min,No,Online videos,49,45.7,45,43.9,E
87,14,Male,Public,Diploma,1.8,94.6,yes,>60 min,Yes,Online videos,74.3,57.7,46.7,61.3,D
88,15,Other,Private,High School,5.2,88.4,no,>60 min,Yes,Textbook,67.7,81.7,89.5,73.9,C
89,18,Female,Public,Graduate,1.2,88.7,no,30-60 min,Yes,Notes,55.6,73.1,57.4,53.4,E
90,18,Female,Private,High School,4.5,79.5,yes,<15 min,No,Group study,57,56.1,62.6,63.4,D
91,16,Other,Public,Ph.D,5.1,50.3,yes,30-60 min,No,Group study,71.3,50.2,63.1,59.9,D
92,18,Male,Private,Post Graduate,5.7,94.1,yes,30-60 min,Yes,Textbook,80.5,86.2,79.4,82,C
93,19,Female,Public,Post Graduate,1.4,91.5,yes,30-60 min,Yes,Group study,40,46.1,31.2,41.3,E
94,16,Female,Public,High School,3.9,86.4,no,30-60 min,No,Online videos,57.3,49.7,54.7,59.5,D
95,19,Male,Private,No Formal,4,93.9,yes,<15 min,No,Group study,80.2,93.9,87.6,76.8,C
96,15,Male,Public,No Formal,6.8,59.2,yes,30-60 min,No,Notes,86.9,79.9,88.2,87.9,B
97,15,Male,Public,Ph.D,4,64.1,yes,>60 min,Yes,Group study,65.6,73.9,70.1,66.6,D
98,18,Male,Private,Ph.D,3.6,57.9,yes,15-30 min,No,Group study,42.3,46.6,57.5,46.2,E
99,17,Other,Private,Post Graduate,1.4,82.3,yes,15-30 min,No,Coaching,37.2,50.4,48.3,39.9,F
100,14,Male,Private,Graduate,5.7,71.9,no,<15 min,No,Group study,67.8,57,61.6,66.9,D
101,18,Male,Public,High School,5.1,55.1,yes,30-60 min,Yes,Textbook,76.8,73,74.8,66.8,D
102,15,Other,Private,Post Graduate,5.9,78.8,yes,<15 min,Yes,Coaching,72.3,48.8,70.5,68.8,D
103,18,Female,Public,Graduate,5.4,66.9,yes,30-60 min,Yes,Mixed,68.7,72.3,64.8,73.5,C
104,14,Other,Private,Graduate,7.1,74.5,yes,30-60 min,No,Online videos,77.9,75.6,89,81.9,C
105,18,Other,Private,No Formal,7.1,63.1,yes,15-30 min,Yes,Notes,100,90.8,96,86.4,B
106,18,Male,Private,Graduate,2.8,58.1,yes,15-30 min,No,Group study,24,58,23.3,39.3,F
107,18,Female,Private,Post Graduate,1.9,72.5,yes,<15 min,Yes,Textbook,39.3,44.8,42.7,52.9,E
108,17,Male,Private,Post Graduate,7.4,61.3,no,30-60 min,Yes,Textbook,68.3,78.7,66.9,75.9,C
109,16,Female,Public,No Formal,5.8,70.3,yes,<15 min,No,Mixed,71.6,60.4,85.2,65.2,D
110,18,Other,Private,No Formal,7.8,69.1,no,30-60 min,No,Online videos,73.4,96.5,74.7,82.4,C
111,15,Other,Private,Ph.D,4.2,97,yes,30-60 min,Yes,Online videos,58,71.2,49,67.3,D
112,18,Other,Private,High School,7.7,59.3,yes,30-60 min,Yes,Online videos,98.5,85.1,76.7,88.9,B
113,17,Male,Public,Diploma,1.4,64.3,yes,>60 min,No,Group study,21.1,43.7,43.6,35.7,F
114,16,Male,Private,Graduate,4.9,89.6,yes,30-60 min,Yes,Group study,81.1,63.6,67.7,74.2,C
115,17,Female,Public,Diploma,4.2,64.8,yes,15-30 min,Yes,Mixed,73.7,64,52.8,61.3,D
116,17,Male,Private,Ph.D,0.5,74,yes,<15 min,No,Textbook,44.4,35.1,20.1,37.1,F
117,14,Female,Private,Ph.D,1.9,88.1,yes,15-30 min,No,Mixed,57,61.8,63.6,54.8,E
118,14,Other,Private,Diploma,1.7,50.2,no,30-60 min,Yes,Coaching,39.2,12.8,40.9,32.1,F
119,15,Male,Private,High School,1,97.8,yes,15-30 min,Yes,Mixed,65.9,32,41.9,39.6,F
120,14,Other,Public,Ph.D,7.6,73.1,yes,15-30 min,No,Online videos,82.3,79.1,72.6,81.9,C
121,16,Other,Public,Post Graduate,7.7,88,yes,30-60 min,No,Group study,92.4,76.4,86.1,92,B
122,18,Other,Public,Post Graduate,7.2,96,yes,<15 min,No,Notes,100,71.6,83.4,89.4,B
123,17,Male,Private,Diploma,7.9,93.8,yes,>60 min,Yes,Coaching,92.7,100,95.8,98.4,A
124,16,Male,Private,Diploma,6.7,61,yes,>60 min,No,Group study,85.3,86.2,80,87.8,B
125,19,Male,Private,High School,7.5,77.8,no,<15 min,No,Mixed,100,100,76.9,87.1,B
126,17,Male,Private,Diploma,2,70.5,no,>60 min,No,Group study,62.7,52.9,52.8,53.1,E
127,14,Male,Private,Graduate,2.4,76.6,no,30-60 min,No,Notes,40.3,64.6,67.1,52.7,E
128,18,Female,Public,No Formal,7,89,yes,>60 min,No,Mixed,83.8,71.4,71.2,82.6,C
129,17,Male,Private,Graduate,4.1,67.7,yes,>60 min,No,Online videos,72.3,71.7,66.9,65,D
130,17,Male,Private,Graduate,5.9,73.9,yes,15-30 min,Yes,Textbook,80.4,66.8,92.5,81.1,C
131,17,Other,Public,Ph.D,4.7,80.4,yes,>60 min,Yes,Online videos,72.7,78.1,75.3,73.8,C
132,17,Other,Private,No Formal,2.8,63.5,yes,>60 min,No,Mixed,27.5,63.3,41.9,40.6,E
133,14,Other,Private,High School,2.6,80.3,yes,30-60 min,Yes,Group study,49.8,39.9,35.2,43.3,E
134,17,Male,Private,Diploma,6.1,57.4,yes,15-30 min,No,Group study,99.2,81.5,86.3,78.3,C
135,18,Female,Private,Ph.D,4.5,81.1,yes,<15 min,No,Coaching,77.4,70.7,84,73.4,C
136,15,Female,Private,High School,3.2,57.2,yes,15-30 min,Yes,Mixed,59.8,53.9,63.5,50.1,E
137,17,Male,Public,Ph.D,5.1,88.8,no,15-30 min,Yes,Textbook,72.8,80.9,87.6,81.6,C
138,14,Other,Public,Ph.D,3.6,59.7,no,15-30 min,No,Coaching,43.6,78.1,50.4,54.2,E
139,16,Female,Private,No Formal,4.1,82.3,yes,>60 min,No,Textbook,59.7,71.3,67,67.6,D
140,16,Other,Public,Diploma,5.6,79.1,yes,30-60 min,Yes,Mixed,88.7,76.9,76.4,85.7,B
141,19,Male,Private,High School,3.9,71.3,yes,15-30 min,No,Mixed,53.8,46.4,54.2,52.6,E
142,15,Female,Public,Diploma,7.6,82.3,yes,<15 min,Yes,Group study,73.5,100,92.8,89.7,B
143,15,Male,Private,Ph.D,4.1,92.3,yes,30-60 min,Yes,Online videos,58.5,59,66.5,62,D
144,16,Other,Private,Diploma,7.7,56,yes,<15 min,No,Mixed,79.1,91.3,92,78.7,C
145,19,Female,Private,Graduate,6.9,83.8,no,30-60 min,No,Group study,99.1,100,96.2,95.6,A
146,19,Male,Public,No Formal,7.2,70.5,yes,15-30 min,Yes,Textbook,90.9,86.7,82.9,90.2,B
147,14,Male,Private,Graduate,6.2,83.7,no,30-60 min,Yes,Mixed,93.3,78.5,82.8,84.5,C
148,15,Female,Private,Diploma,5,93.8,yes,15-30 min,Yes,Coaching,58.1,77.1,74.9,71.7,C
149,18,Male,Public,Ph.D,4.5,82.6,yes,<15 min,Yes,Textbook,87,58,76.3,68.7,D
150,14,Male,Private,Post Graduate,4.6,58,yes,15-30 min,No,Group study,41,73.1,57.3,61.2,D
151,19,Other,Public,High School,2,70.8,yes,30-60 min,No,Group study,47.8,30.8,32.8,36.9,F
152,15,Other,Private,Graduate,2.1,77.5,yes,30-60 min,No,Group study,52.8,37.9,45.6,39.3,F
153,19,Female,Public,Diploma,0.8,56.3,yes,>60 min,No,Notes,12.8,26.2,14.7,22.6,F
154,15,Other,Private,Diploma,6.1,82.2,yes,<15 min,Yes,Mixed,100,91.6,92.1,87.5,B
155,16,Female,Private,Diploma,1.4,85.7,yes,30-60 min,Yes,Mixed,45.4,37.1,55.7,46.8,E
156,17,Male,Private,Post Graduate,4.9,88.1,yes,30-60 min,No,Coaching,75.8,57.7,77.6,77.5,C
157,14,Other,Private,High School,1.5,56,yes,<15 min,No,Coaching,35.6,20.4,33.1,26.5,F
158,17,Male,Private,No Formal,1,85.3,no,15-30 min,No,Mixed,39.8,41.5,27.9,38.4,F
159,17,Other,Private,High School,4.5,68.3,yes,<15 min,No,Coaching,53.4,67.8,55.6,58.1,D
160,18,Female,Public,Post Graduate,7,60.6,yes,<15 min,Yes,Group study,82.7,71.7,77,86,B
161,19,Male,Private,High School,3.2,76.2,no,15-30 min,No,Group study,51,48.2,54.2,48.9,E
162,17,Male,Public,No Formal,7.4,78.6,yes,<15 min,No,Online videos,80.1,69.3,61.2,86,B
163,16,Other,Private,Diploma,0.6,72.8,yes,30-60 min,Yes,Group study,43.3,13.9,45.8,37.8,F
164,16,Other,Private,Ph.D,4,92,yes,<15 min,Yes,Textbook,67,93.9,65.3,71.9,C
165,16,Female,Private,Ph.D,1.6,57.8,no,<15 min,Yes,Coaching,39,38.4,35.6,43.4,E
166,18,Male,Public,Ph.D,2.9,70.4,yes,>60 min,No,Group study,54.1,59.9,70.7,58.3,D
167,15,Other,Public,Post Graduate,0.7,63.4,yes,30-60 min,No,Group study,18,45.5,36.2,37.8,F
168,15,Other,Private,Post Graduate,0.8,52.4,yes,15-30 min,No,Notes,29.6,50.3,27.8,32.4,F
169,16,Female,Private,Post Graduate,5.8,67,yes,>60 min,Yes,Textbook,70.4,64,69.2,66.2,D
170,14,Female,Public,No Formal,5.4,85.9,yes,>60 min,No,Group study,95.2,71.2,80.1,78.4,C
171,14,Other,Public,Diploma,2.1,76.2,no,<15 min,No,Mixed,54.8,33.5,38.2,39.6,F
172,14,Female,Private,Graduate,7.3,70.9,yes,15-30 min,Yes,Group study,86.9,84.2,97.3,86.7,B
173,18,Male,Private,Diploma,5.7,73.7,yes,30-60 min,No,Coaching,80.7,80.6,58.2,80.8,C
174,18,Male,Public,Post Graduate,3,65.6,yes,<15 min,Yes,Online videos,43.7,50.5,39.8,50.5,E
175,18,Female,Public,Ph.D,3.6,56.1,yes,30-60 min,No,Mixed,55.8,42,37.8,48.2,E
176,16,Other,Private,Graduate,2.7,79.5,yes,<15 min,No,Notes,50.8,52.3,79.3,63.4,D
177,18,Other,Public,No Formal,6.7,90.8,yes,>60 min,No,Group study,77.3,100,99.8,86.1,B
178,14,Female,Public,Diploma,4.2,89.5,yes,15-30 min,Yes,Online videos,48,62.7,64.5,63.1,D
179,19,Male,Public,High School,1.5,61.7,yes,30-60 min,No,Textbook,35.8,28,36.3,36.9,F
180,17,Female,Private,Diploma,2,71.7,yes,>60 min,Yes,Textbook,45.7,24.3,40.3,43.7,E
181,19,Male,Public,High School,2.7,77.6,yes,30-60 min,Yes,Coaching,38,51.5,59.8,49.5,E
182,14,Female,Public,No Formal,3.5,90.1,yes,30-60 min,Yes,Online videos,49.9,56.9,47.5,59.5,D
183,16,Female,Public,High School,4.9,59.8,yes,>60 min,No,Coaching,78.7,64.1,81.9,73,C
184,18,Other,Private,Diploma,7.7,56.6,yes,30-60 min,No,Textbook,79.1,89.3,98,81.5,C
185,16,Other,Private,No Formal,2.5,96.6,yes,15-30 min,No,Mixed,50.3,47.4,61.8,59.7,D
186,16,Other,Public,No Formal,3,57.3,no,15-30 min,Yes,Notes,32.5,39.6,41.6,38.6,F
187,14,Male,Private,High School,0.7,99.5,yes,30-60 min,No,Coaching,51.7,49.6,46.3,44.7,E
188,16,Other,Private,Graduate,3.3,79.9,yes,15-30 min,Yes,Mixed,64.3,47.5,54.3,58.4,D
189,15,Male,Private,Graduate,5.6,74.9,yes,<15 min,No,Notes,70.4,72.9,55.4,71.8,C
190,15,Female,Private,Diploma,7.7,59.4,yes,30-60 min,No,Group study,65.5,73.4,77.6,76.1,C
191,18,Other,Public,Graduate,6.1,93,yes,30-60 min,No,Group study,73.9,92.3,80.2,86.6,B
192,17,Other,Private,High School,1.4,58.6,yes,30-60 min,No,Online videos,7.6,32.8,16.7,25.5,F
193,17,Female,Private,Post Graduate,7.2,70.1,yes,15-30 min,Yes,Textbook,71.1,55.2,78,80.1,C
194,16,Male,Private,No Formal,6.8,52.4,yes,<15 min,No,Mixed,90.4,88.5,91.3,84.1,C
195,19,Female,Private,No Formal,1.9,51.1,yes,<15 min,Yes,Online videos,24.7,36.9,36.8,32.5,F
196,14,Other,Private,Ph.D,7.5,86.5,yes,30-60 min,No,Coaching,82.8,100,96.6,93,B
197,16,Female,Private,Diploma,5.9,60.4,yes,<15 min,Yes,Mixed,62.6,78.9,78.5,71.9,C
198,14,Female,Private,Graduate,6.4,80,yes,30-60 min,Yes,Coaching,86.3,92.6,94.7,90.7,B
199,16,Female,Public,Diploma,3.9,86.2,yes,<15 min,Yes,Mixed,71.3,56.8,69.7,60.9,D
200,19,Female,Public,Graduate,2,74.6,yes,15-30 min,No,Coaching,45.7,43.3,65.7,54.9,E
201,16,Male,Public,Post Graduate,6.5,82.8,yes,>60 min,Yes,Online videos,84,93.9,98.9,90,B
202,19,Other,Private,Post Graduate,4.1,62.1,yes,15-30 min,No,Mixed,38.3,44,43.1,50.1,E
203,16,Male,Public,High School,7.8,90.9,yes,15-30 min,No,Mixed,100,92.8,100,100,A
204,18,Other,Public,Graduate,1.7,60.3,yes,>60 min,Yes,Notes,41.8,40.5,37.8,42.2,E
205,16,Male,Public,Post Graduate,3.2,79.5,yes,<15 min,Yes,Mixed,45.8,63.5,50.2,59.9,D
206,15,Female,Private,Diploma,6,91.8,yes,15-30 min,No,Mixed,72.1,93,76.3,82.7,C
207,18,Female,Private,Diploma,4.8,89.7,yes,15-30 min,No,Mixed,84.1,82.3,71.1,80.2,C
208,19,Female,Public,Graduate,3.7,52.6,yes,15-30 min,Yes,Mixed,68.6,60.5,66.4,57.8,D
209,15,Female,Private,Graduate,5.8,68.4,yes,>60 min,Yes,Coaching,58.9,61.4,67.7,65.2,D
210,18,Other,Public,High School,6,92.6,yes,>60 min,Yes,Notes,89.1,77.9,93.2,82.5,C
211,15,Male,Public,Ph.D,4.8,92.5,yes,<15 min,Yes,Notes,79.9,73.5,86.9,76.2,C
212,18,Other,Private,Graduate,2.9,81.8,yes,>60 min,Yes,Group study,84.3,67.5,64.3,65.5,D
213,18,Other,Public,Graduate,5.1,55.4,no,<15 min,No,Notes,52.9,50.8,69.7,62.8,D
214,16,Other,Public,High School,4.6,70.2,yes,<15 min,No,Textbook,79.3,51.6,47.3,61.4,D
215,18,Male,Private,Post Graduate,6.5,98.1,yes,30-60 min,Yes,Mixed,90.9,92.9,74.5,83.2,C
216,15,Male,Public,Ph.D,5.4,55.3,yes,15-30 min,Yes,Mixed,58.4,68.2,52.9,67.5,D
217,14,Female,Private,Post Graduate,4.2,90.1,yes,<15 min,No,Notes,82.4,48.1,66.6,75.7,C
218,14,Male,Public,Graduate,0.6,70.9,yes,<15 min,No,Textbook,35.3,47.9,35.1,43,E
219,16,Other,Private,Graduate,1.8,87.2,no,30-60 min,No,Textbook,54.4,52.6,46.8,52.1,E
220,19,Other,Private,High School,3,52.7,yes,15-30 min,No,Textbook,53.2,49.2,42.7,47.3,E
221,14,Female,Private,No Formal,5,50.5,yes,15-30 min,No,Mixed,55.3,61.3,54.4,61.5,D
222,16,Other,Public,Graduate,6.4,65,yes,15-30 min,Yes,Notes,100,99.3,71.5,82.4,C
223,18,Male,Private,High School,7.7,93.5,yes,<15 min,No,Notes,99,98.9,100,99.1,A
224,15,Other,Public,No Formal,5,84,yes,>60 min,No,Coaching,69.6,45.8,67.5,69.1,D
225,18,Male,Private,Post Graduate,6,80.6,yes,15-30 min,Yes,Textbook,85.5,91.5,82.8,77.4,C
226,15,Other,Private,Diploma,5.2,99.9,yes,>60 min,Yes,Online videos,93,95.9,78.3,85.6,B
227,18,Female,Private,Ph.D,3.7,67.4,yes,30-60 min,No,Group study,72,56.3,52.6,63.1,D
228,17,Female,Private,Ph.D,5.1,92.5,no,<15 min,No,Notes,87.3,74.9,90.4,80.2,C
229,17,Male,Private,No Formal,3.5,55.5,no,15-30 min,No,Textbook,76.3,64.3,66.4,54.8,E
230,15,Female,Public,Post Graduate,3.9,58.5,yes,>60 min,Yes,Mixed,47.1,71.6,47.1,44.6,E
231,16,Other,Private,Diploma,7.3,73.9,yes,<15 min,No,Mixed,99.2,100,96.2,97.2,A
232,19,Other,Private,Post Graduate,4.7,98,yes,<15 min,No,Group study,83.9,63.3,86.5,70.5,C
233,14,Female,Public,No Formal,1.3,85.2,yes,30-60 min,Yes,Textbook,39.8,46.2,50.7,39.7,F
234,18,Male,Public,Diploma,4.4,55.6,yes,15-30 min,No,Textbook,41,45.5,50.3,52.6,E
235,16,Female,Private,Graduate,7.6,97.7,yes,30-60 min,Yes,Mixed,90.5,87.7,85.7,95.5,A
236,18,Other,Private,Diploma,1.3,88.3,yes,>60 min,No,Mixed,34.5,37.6,53.8,39.4,F
237,17,Male,Private,Graduate,7.8,86.8,no,30-60 min,No,Notes,100,95.5,63,87.6,B
238,16,Other,Public,No Formal,7.9,77.6,yes,15-30 min,No,Coaching,92.3,100,99,100,A
239,15,Other,Public,No Formal,4.7,69.7,yes,>60 min,No,Coaching,51.8,50.2,59.2,63.7,D
240,17,Other,Public,Graduate,3,55.5,yes,<15 min,Yes,Group study,47.9,32.7,32.3,39.2,F
241,14,Female,Public,Diploma,0.6,81,yes,>60 min,No,Online videos,56.6,19.4,28.1,36.1,F
242,17,Male,Public,Graduate,0.6,56.4,yes,<15 min,Yes,Mixed,14.4,39.3,27.5,28.6,F
243,14,Male,Public,Diploma,3.4,79.5,no,<15 min,No,Online videos,85.1,67.8,74.7,64,D
244,17,Other,Private,No Formal,6.4,77,yes,15-30 min,No,Notes,72.7,86,73.9,82.2,C
245,17,Female,Public,Post Graduate,7.6,79.8,no,<15 min,Yes,Mixed,77.5,95.8,100,95.8,A
246,14,Male,Public,No Formal,1.7,91.3,yes,>60 min,Yes,Coaching,29.1,46.6,40.8,44,E
247,18,Other,Public,Post Graduate,4.2,70.6,yes,30-60 min,No,Notes,69.7,71.9,55.9,69.1,D
248,16,Male,Private,No Formal,4.3,71.8,yes,<15 min,No,Online videos,66,73.7,62.2,70.3,C
